pais;pagina;chave;votos;pct_impresso
AFRICA DO SUL;372;#ELEITORADO;23;
AFRICA DO SUL;372;#ABSTENCOES;23;100.00
AFRICA DO SUL;372;#VOTANTES;0;0.00
AFRICA DO SUL;372;#BRANCOS;0;0.00
AFRICA DO SUL;372;#NULOS;0;0.00
AFRICA DO SUL;372;#VOTOS VALIDOS;1;4.35
AFRICA DO SUL;372;LULA;0;0.00
AFRICA DO SUL;372;COLLOR;0;0.00
ALEMANHA OCIDENTAL;372;#ELEITORADO;1442;
ALEMANHA OCIDENTAL;372;#SECOES;6;
ALEMANHA OCIDENTAL;372;#ABSTENCOES;1225;84.95
ALEMANHA OCIDENTAL;372;#VOTANTES;217;15.05
ALEMANHA OCIDENTAL;372;#BRANCOS;2;0.14
ALEMANHA OCIDENTAL;372;#NULOS;0;0.00
ALEMANHA OCIDENTAL;372;#VOTOS VALIDOS;215;14.91
ALEMANHA OCIDENTAL;372;LULA;174;80.93
ALEMANHA OCIDENTAL;372;COLLOR;41;19.07
ALEMANHA ORIENTAL;372;#ELEITORADO;33;
ALEMANHA ORIENTAL;372;#SECOES;1;
ALEMANHA ORIENTAL;372;#ABSTENCOES;11;33.33
ALEMANHA ORIENTAL;372;#VOTANTES;22;66.67
ALEMANHA ORIENTAL;372;#BRANCOS;0;0.00
ALEMANHA ORIENTAL;372;#NULOS;0;0.00
ALEMANHA ORIENTAL;372;#VOTOS VALIDOS;22;66.67
ALEMANHA ORIENTAL;372;LULA;17;77.27
ALEMANHA ORIENTAL;372;COLLOR;5;22.73
ANGOLA;372;#ELEITORADO;680;
ANGOLA;372;#SECOES;2;
ANGOLA;372;#ABSTENCOES;218;32.06
ANGOLA;372;#VOTANTES;462;67.94
ANGOLA;372;#BRANCOS;2;0.29
ANGOLA;372;#NULOS;8;1.18
ANGOLA;372;#VOTOS VALIDOS;452;66.47
ANGOLA;372;COLLOR;297;65.71
ANGOLA;372;LULA;155;34.29
ARABIA SAUDITA;372;#ELEITORADO;30;
ARABIA SAUDITA;372;#SECOES;1;
ARABIA SAUDITA;372;#ABSTENCOES;13;43.33
ARABIA SAUDITA;372;#VOTANTES;17;56.67
ARABIA SAUDITA;372;#BRANCOS;0;0.00
ARABIA SAUDITA;372;#NULOS;0;0.00
ARABIA SAUDITA;372;#VOTOS VALIDOS;17;56.67
