UF,Ano,CD_Municipio,Municipio,Zona,Tipo_Problema,Detalhe,Votos_Afetados,Pct_Votos_Municipio
MG,2000,41165,NOVA PORTEIRINHA,226,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CATUTI, PAI PEDRO, PORTEIRINHA, RIACHO DOS MACHADOS, SERRANÓPOLIS DE MINAS",4237,100.0
MG,2000,49131,OLIVEIRA FORTES,25,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALFREDO VASCONCELOS, DESTERRO DO MELO, RESSAQUINHA, SANTANA DO GARAMBÉU, SANTA BÁRBARA DO TUGÚRIO",1685,100.0
MG,2000,41262,PADRE CARVALHO,120,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BOTUMIRIM, CRISTÁLIA, GRÃO MOGOL, JOSENÓPOLIS",2905,100.0
MG,2000,49310,PAIVA,25,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALFREDO VASCONCELOS, DESTERRO DO MELO, RESSAQUINHA, SANTANA DO GARAMBÉU, SANTA BÁRBARA DO TUGÚRIO",1264,100.0
MG,2000,50032,PIEDADE DE PONTE NOVA,225,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ACAIACA, AMPARO DO SERRA, BARRA LONGA, GUARACIABA, RIO DOCE",3010,100.0
MG,2000,50059,PIEDADE DO RIO GRANDE,14,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ANDRELÂNDIA, ARANTINA, BOM JARDIM DE MINAS, CARRANCAS, MADRE DE DEUS DE MINAS",3302,100.0
MG,2000,50733,QUARTEL GERAL,104,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: DORES DO INDAIÁ, ESTRELA DO INDAIÁ, SERRA DA SAUDADE",2593,100.0
MG,2000,40606,RIACHINHO,285,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: SANTA FÉ DE MINAS, SÃO ROMÃO",4214,100.0
MG,2000,51535,SANTA JULIANA,291,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: PEDRINÓPOLIS, PERDIZES",5506,100.0
MG,2000,51837,SANTA RITA DE CALDAS,57,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CALDAS,5837,100.0
MG,2000,51934,SANTA ROSA DA SERRA,254,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: MATUTINA, SÃO GOTARDO",2317,100.0
MG,2000,53031,SAO TOME DAS LETRAS,20,MUNICIPIO_INEXISTENTE_2006,Municipio nao encontrado na base 2006 (nome/criacao),3887,100.0
MG,2000,53554,SOLEDADE DE MINAS,75,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CARMO DE MINAS, DOM VIÇOSO",3743,100.0
MG,2000,41602,SÃO JOÃO DAS MISSÕES,148,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BONITO DE MINAS, CÔNEGO MARINHO, ITACARAMBI, JANUÁRIA, PEDRAS DE MARIA DA CRUZ",3932,100.0
MG,2000,52850,SÃO ROQUE DE MINAS,220,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CAPITÓLIO, DORESÓPOLIS, PIUMHI",4187,100.0
MG,2000,52990,SÃO TIAGO,46,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BOM SUCESSO, IBITURUNA, SANTO ANTÔNIO DO AMPARO",6842,100.0
MG,2000,53775,TIROS,254,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: MATUTINA, SÃO GOTARDO",4553,100.0
MG,2000,53937,TURMALINA,177,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BERILO, CHAPADA DO NORTE, FRANCISCO BADARÓ, JENIPAPO DE MINAS, JOSÉ GONÇALVES DE MINAS",8165,100.0
MG,2000,53953,TURVOLÂNDIA,253,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CAREAÇU, CORDISLÂNDIA, HELIODORA, SÃO GONÇALO DO SAPUCAÍ",2434,100.0
MG,2000,42463,URUANA DE MINAS,280,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CABECEIRA GRANDE, UNAÍ",2454,100.0
MG,2000,40886,URUCUIA,252,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ICARAÍ DE MINAS, PINTÓPOLIS, SÃO FRANCISCO",4195,100.0
MG,2000,54097,URUCÂNIA,225,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ACAIACA, AMPARO DO SERRA, BARRA LONGA, GUARACIABA, RIO DOCE",6109,100.0
MG,2000,54119,VARGEM BONITA,220,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CAPITÓLIO, DORESÓPOLIS, PIUMHI",1905,100.0
MG,2000,42544,VEREDINHA,177,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BERILO, CHAPADA DO NORTE, FRANCISCO BADARÓ, JENIPAPO DE MINAS, JOSÉ GONÇALVES DE MINAS",2902,100.0
MS,2000,91596,TERENOS,44,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CAMPO GRANDE,7031,100.0
MT,2000,90077,ALTO GARÇAS,11,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ARIPUANÃ, COLNIZA",4980,100.0
