UF,Ano,CD_Municipio,Municipio,Zona,Tipo_Problema,Detalhe,Votos_Afetados,Pct_Votos_Municipio
RJ,2000,58327,PORTO REAL,198,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ITATIAIA, RESENDE",6983,100.0
RJ,2000,58025,QUATIS,91,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: BARRA MANSA,6677,100.0
RJ,2000,58009,QUISSAMÃ,109,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: MACAÉ,9107,100.0
RJ,2000,58203,RIO DAS OSTRAS,50,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CASIMIRO DE ABREU,16041,100.0
RJ,2000,59331,SÃO JOSÉ DO VALE DO RIO PRETO,226,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: PETRÓPOLIS,10629,100.0
RO,2000,779,BURITIS,26,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO PARAÍSO, CACAULÂNDIA, CUJUBIM, RIO CRESPO",8347,100.0
RO,2000,671,CAMPO NOVO DE RONDÔNIA,26,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO PARAÍSO, CACAULÂNDIA, CUJUBIM, RIO CRESPO",3939,100.0
RO,2000,370,NOVA BRASILANDIA,15,MUNICIPIO_INEXISTENTE_2006,Municipio nao encontrado na base 2006 (nome/criacao),9937,100.0
RO,2000,582,SERINGUEIRAS,18,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALVORADA DO OESTE, URUPÁ",5040,100.0
RO,2000,418,SÃO MIGUEL DO GUAPORÉ,18,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALVORADA DO OESTE, URUPÁ",8058,100.0
RR,2000,3018,BOA VISTA,3,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO ALEGRE, AMAJARI, BONFIM, CANTÁ, NORMANDIA",717,0.83
RS,2000,88609,UBIRETAMA,127,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: GIRUÁ, SENADOR SALGADO FILHO",1985,100.0
SC,2000,80225,ABDON BATISTA,7,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BRUNÓPOLIS, CAMPOS NOVOS, VARGEM, ZORTÉA",2043,100.0
SC,2000,80390,BALNEÁRIO CAMBORIÚ,91,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: BOMBINHAS, ITAPEMA, PORTO BELO",16964,42.09
SC,2000,80985,BOMBINHAS,31,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CANELINHA, TIJUCAS",5430,100.0
SC,2000,80799,CAXAMBU DO SUL,94,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ÁGUAS FRIAS, CHAPECÓ, CORONEL FREITAS, JARDINÓPOLIS, UNIÃO DO OESTE",4152,100.0
SC,2000,81043,CORDILHEIRA ALTA,94,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ÁGUAS FRIAS, CHAPECÓ, CORONEL FREITAS, JARDINÓPOLIS, UNIÃO DO OESTE",2032,100.0
SC,2000,80527,GUATAMBÚ,94,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ÁGUAS FRIAS, CHAPECÓ, CORONEL FREITAS, JARDINÓPOLIS, UNIÃO DO OESTE",3455,100.0
SC,2000,80322,NOVA ITABERABA,94,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ÁGUAS FRIAS, CHAPECÓ, CORONEL FREITAS, JARDINÓPOLIS, UNIÃO DO OESTE",3316,100.0
SC,2000,82430,PEDRAS GRANDES,99,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ARMAZÉM, CAPIVARI DE BAIXO, GRAVATAL, SÃO MARTINHO, TUBARÃO",3209,100.0
SC,2000,80543,PLANALTO ALEGRE,94,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ÁGUAS FRIAS, CHAPECÓ, CORONEL FREITAS, JARDINÓPOLIS, UNIÃO DO OESTE",1705,100.0
SC,2000,82651,PORTO BELO,31,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CANELINHA, TIJUCAS",6083,100.0
SC,2000,83372,SÃO MARTINHO,33,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: JAGUARUNA, PEDRAS GRANDES, SANGÃO, TREZE DE MAIO, TUBARÃO",2552,100.0
SE,2000,31119,BARRA DOS COQUEIROS,1,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: ARACAJU,9683,100.0
SP,2000,63436,COLÔMBIA,178,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: COLINA, JABORANDI",4505,100.0
SP,2000,61123,DIRCE REIS,232,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: APARECIDA D OESTE, MARINÓPOLIS, PALMEIRA D OESTE, SÃO FRANCISCO",1275,100.0
SP,2000,61565,POTIM,316,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: GUARATINGUETÁ,7291,100.0
SP,2000,69833,RIO GRANDE DA SERRA,183,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: RIBEIRÃO PIRES,22373,100.0
